time,EKF_roll [deg],EKF_pitch [deg],EKF_yaw [deg]
61.478075999999994,2.0878805163614573,2.015298709096356,-2.985761032722915
61.48809,2.0710818391265167,2.063245517379551,-2.947836321746966
61.497702999999994,2.082826433121012,2.089293391719747,-2.9285867834394943
61.508114,2.124310102430226,2.0778449487848873,-2.9078449487848874
61.518057,2.1652506203473965,2.0589498759305207,-2.886849627791562
61.528406,2.2140266021765362,2.0513422007255118,-2.857315598548976
61.537735,2.238522157609784,2.062955684780433,-2.837044315219567
61.547729999999994,2.2177411343995304,2.1015059104003133,-2.79774113439953
61.55802,2.1919663259170226,2.119016837041489,-2.7680336740829774
61.568259999999995,2.2112454909819594,2.1087545090180404,-2.746263527054122
61.578244999999995,2.2237477477477374,2.0987507507507543,-2.7162522522522625
61.587751999999995,2.249235000000006,2.0915299999999886,-2.687705000000017
61.597659,2.2359840637450095,2.1113386454183303,-2.6579920318725048
61.607952999999995,2.1762904356534816,2.1309273910866295,-2.627217826740111
61.618012,2.1369927826784143,2.14,-2.5979951884522765
61.628004999999995,2.1079666100169994,2.14,-2.5779666100169996
61.637681,2.087250996015914,2.1406872509960215,-2.5579382470119354
61.647774999999996,2.0477615083742933,2.1507461638752354,-2.5285076722495288
61.658530999999996,2.0077838809547766,2.163054029761306,-2.506945970238694
61.668437,1.930019051438894,2.1814258497944436,-2.485722450616669
61.677952999999995,1.86420942094209,2.1919301930193034,-2.457104710471045
61.687697,1.8078772174606197,2.21,-2.42787721746062
61.697739,1.7735341204722908,2.2092815689413654,-2.3985631378827312
61.708037,1.6828495752124006,2.2,-2.3779570214892574
61.718024,1.611951097304326,2.2020122256739185,-2.3579877743260815
61.728145999999995,1.5285242621311013,2.2222951475737798,-2.3365572786393303
61.737686999999994,1.4337810349985216,2.2427639844451015,-2.307927011666174
61.747825999999996,1.343572786393213,2.28,-2.278393196598303
61.758041999999996,1.2628570004982504,2.27897957149975,-2.25897957149975
61.76806,1.1918831234256841,2.272029219143579,-2.247970780856421
61.777947,1.1132298632598219,2.2929014871743623,-2.228065675217092
61.787707999999995,1.0443216531896127,2.324968553459089,-2.207870619946105
61.797709,0.9651379172496464,2.3927783330002024,-2.1779162502498486
61.808049,0.8938253825382385,2.43,-2.15
61.817995999999994,0.8370595906902122,2.431960272873192,-2.149019863563404
61.828320999999995,0.8046788990825682,2.45665137614679,-2.137339449541284
61.837832999999996,0.7651110668393151,2.5057037553541326,-2.1175555334196576
61.847806,0.7031959384739228,2.576048054689846,-2.0877319794913074
61.858061,0.614720063757709,2.654223948993833,-2.057888025503084
61.868362,0.5660086484312158,2.691330450522928,-2.037339098954144
61.878102999999996,0.5377644710578848,2.7022355289421154,-2.017764471057885
61.887688999999995,0.5158999900388802,2.72546667994816,-1.9979499950194402
61.897765,0.4542015037593913,2.8057984962406084,-1.9678255639097717
61.908066999999996,0.37368167686290654,2.8863183231370932,-1.9368408384314533
61.917994,0.3149699999999798,2.944024000000016,-1.9079879999999918
61.928081999999996,0.26672846889951657,2.9832715311004834,-1.8867284688995165
61.937751999999996,0.23926902336728637,3.0143858597962816,-1.858538046734573
61.947806,0.22690767073901663,3.0761846585219668,-1.8376807530542625
61.958073999999996,0.1847173215717878,3.157395749799497,-1.8068303929430727
61.968402,0.1329509676125409,3.229868645342443,-1.7771803870450165
61.977899,0.08814888535031032,3.295553343949069,-1.7581488853503104
61.987736,0.07071900000000332,3.35215700000001,-1.7385619999999933
61.997774,0.07848509105463239,3.384544726836103,-1.7184850910546323
62.008036999999995,0.05794368173164477,3.445140795670888,-1.6979436817316447
62.018032,0.0389578957895808,3.4972947294729346,-1.6779157915791616
62.028499999999994,0.026996023856870294,3.569011928429389,-1.6554940357853054
62.037730999999994,0.009316222177664278,3.6234188891116785,-1.6293162221776643
62.047844,0.0,3.6716436436436473,-1.6183563563563528
62.058021,0.0,3.691010222489476,-1.5989897775105242
62.068087,0.0010945770498391135,3.7021891540996785,-1.587810845900322
62.078376999999996,0.008631515997208251,3.7241054520083754,-1.5672630319944165
62.087728999999996,-0.0006916541729143738,3.7520749625187433,-1.547925037481257
62.0978,-0.010759671276813399,3.7792403287231866,-1.5177209861695597
62.108084999999996,-0.02,3.7646455505279195,-1.488929110105584
62.118019,-0.021051371571068785,3.7147431421446564,-1.4789486284289313
62.128010999999994,-0.03,3.6679683613570893,-1.4679683613570895
62.137755999999996,-0.030716863845999195,3.6492831361540006,-1.4485662723080015
62.147839999999995,-0.040826404888309235,3.6375207853350724,-1.4275207853350722
62.158350999999996,-0.0540602180654225,3.6005261578473475,-1.3986465939781925
62.168034,-0.07896141543382727,3.527536985205927,-1.3889614154338272
62.178118999999995,-0.07,3.4088245859109927,-1.3788824585910993
62.187746999999995,-0.07,3.3141914191419124,-1.3685478547854784
62.197852999999995,-0.07083592574009032,3.233312594079278,-1.3491640742599098
62.208092,-0.0822100219604799,3.1467398682371206,-1.3377899780395202
62.218320999999996,-0.10262549800796449,3.0216215139442486,-1.318687250996018
62.228058999999995,-0.11898298298298327,2.8827107107107155,-1.31
62.237738,-0.11282621767890655,2.7215213469632804,-1.3092934455802734
62.24782,-0.15243162007813957,2.6002735196874416,-1.298378919947907
62.257979,-0.18098611249875282,2.476194425017461,-1.28
62.267993,-0.19198380161983203,2.333137686231428,-1.2780161983801681
62.278039,-0.2131091345192983,2.1634179492304093,-1.2589636218269005
62.287844,-0.24334199480311755,2.0066320207875297,-1.25
62.297807,-0.28477135980747165,1.8496620537504782,-1.2484095467308427
62.307987,-0.34500299880049,1.715991603358628,-1.228999400239902
62.317986,-0.39297817203229546,1.5751091398385229,-1.2190072759892348
62.328393,-0.42824390733126905,1.4180162471166158,-1.2058780463343655
62.337779,-0.4846921697549334,1.2690516039051554,-1.179217971707511
62.347849,-0.543292363489816,1.12765363691319,-1.169176909127546
62.357994999999995,-0.5882968296829408,0.9775547554755887,-1.1589628962896323
62.367976,-0.6670784955840025,0.8568542224868526,-1.147977572690285
62.378118,-0.7365144230769564,0.7280568910255799,-1.128914262820507
62.387851999999995,-0.7941704170416918,0.6216591659166165,-1.1183318331833234
62.397825,-0.8440476906121609,0.5202855425308138,-1.0991904618775679
62.408308,-0.8965441103007454,0.39429413527821106,-1.088691177939851
62.41802,-0.9460786078607879,0.2788558855885553,-1.08
62.427971,-1.0057842157842196,0.1713236763236704,-1.0790359640359635
62.437797999999994,-1.0654625286897115,0.0845374713102886,-1.0692196387586128
62.447792,-1.133036396541344,0.014686306052647771,-1.059240900864664
62.457967999999994,-1.1759094090590925,-0.05984901509848774,-1.05
62.468042999999994,-1.2310495540138733,-0.16154509415260582,-1.05
62.478237,-1.243516428139503,-0.2705492844185093,-1.05
62.48804,-1.2783586869495644,-0.3552241793434777,-1.0489551641313044
62.497885,-1.355380385884244,-0.4035869239228292,-1.0391032690192927
62.508049,-1.4131695626123446,-0.44633912522468927,-1.0289434791292185
62.518300999999994,-1.4425832170619828,-0.5090412597169396,-1.02
62.528003999999996,-1.46,-0.5777331463487949,-1.0190333567064007
62.537842,-1.4616460905349742,-0.6541152263374358,-1.009176954732513
62.547739,-1.481507698460309,-0.701507698460309,-0.9992461507698455
62.558026,-1.503108606761739,-0.7220724045078261,-0.988963797746087
62.568070999999996,-1.5310559440559406,-0.7431678321678217,-0.9789440559440594
62.578317999999996,-1.5348105073190235,-0.7738921195107324,-0.97
62.587823,-1.4983506597360934,-0.8008246701319534,-0.9691753298680467
62.628206,-1.413046492828969,-0.8399006641832709,-0.929205313466168
62.768322999999995,-0.5624017731211239,-0.7774672577070414,-0.8274672577070413
